strategy,rho,rep,F,P_inf,silencing_rate
random,0.0374,14,0.11426,1.0,0.11684
random,0.0374,15,0.0629,0.93379,0.02004
random,0.0374,16,0.03584,0.97476,0.0
random,0.0374,17,0.00344,0.98878,0.0
random,0.0374,18,0.0,1.0,0.01231
random,0.0374,19,0.0,1.0,0.02361
random,0.0374,20,0.01462,0.92578,0.0
random,0.0374,21,0.0,0.94336,0.0
random,0.0374,22,0.0619,0.99306,0.09814
random,0.0374,23,0.0,0.99387,0.00544
random,0.0374,24,0.00444,0.98406,0.00099
random,0.0405,0,0.03349,1.0,0.05563
random,0.0405,1,0.0,0.95559,0.04376
random,0.0405,2,0.02352,0.96187,0.05649
random,0.0405,3,0.0,1.0,0.0
random,0.0405,4,0.00496,1.0,0.02807
random,0.0405,5,0.06368,0.9839,0.06276
random,0.0405,6,0.03608,1.0,0.07625
random,0.0405,7,0.0,0.95234,0.04014
random,0.0405,8,0.08204,0.91929,0.02121
random,0.0405,9,0.00161,0.96665,0.0
random,0.0405,10,0.01273,0.904,0.03884
random,0.0405,11,0.07733,1.0,0.05349
random,0.0405,12,0.03198,1.0,0.08006
random,0.0405,13,0.0,1.0,0.0
random,0.0405,14,0.10578,1.0,0.0276
random,0.0405,15,0.00927,0.92582,0.0
random,0.0405,16,0.0,0.98351,0.0
random,0.0405,17,0.0137,1.0,0.0
random,0.0405,18,0.0,0.9838,0.0
random,0.0405,19,0.0,0.98199,0.01697
random,0.0405,20,0.0,1.0,0.08933
random,0.0405,21,0.02925,1.0,0.0
random,0.0405,22,0.0,0.9968,0.05632
random,0.0405,23,0.07728,1.0,0.02675
random,0.0405,24,0.01199,0.93999,0.0
random,0.041,0,0.0,0.94619,0.0
random,0.041,1,0.02732,1.0,0.0
random,0.041,2,0.00049,0.98311,0.0
random,0.041,3,0.0,1.0,0.0
random,0.041,4,0.0346,1.0,0.0
random,0.041,5,0.0,1.0,0.0
random,0.041,6,0.05883,1.0,0.04828
random,0.041,7,0.0,0.94352,0.0
random,0.041,8,0.04701,1.0,0.0199
random,0.041,9,0.0,0.90326,0.01487
random,0.041,10,0.0,0.95179,0.0
random,0.041,11,0.0,0.97673,0.06314
random,0.041,12,0.15897,1.0,0.05385
random,0.041,13,0.05762,1.0,0.04133
random,0.041,14,0.0179,0.94031,0.0073
random,0.041,15,0.0,1.0,0.02073
random,0.041,16,0.0,0.98705,0.05192
random,0.041,17,0.1817,1.0,0.08993
random,0.041,18,0.0695,0.97124,0.08495
random,0.041,19,0.0,0.99621,0.03013
random,0.041,20,0.07974,0.89509,0.0
random,0.041,21,0.0,1.0,0.01362
random,0.041,22,0.09692,1.0,0.04142
random,0.041,23,0.04001,0.93998,0.0
random,0.041,24,0.03389,0.96717,0.08022
random,0.0444,0,0.0,1.0,0.0
random,0.0444,1,0.07859,1.0,0.06005
random,0.0444,2,0.0,0.93533,0.0
random,0.0444,3,0.0,1.0,0.0
random,0.0444,4,0.01125,0.95188,0.0246
random,0.0444,5,0.0,1.0,0.03855
random,0.0444,6,0.13774,0.96071,0.08481
random,0.0444,7,0.10308,0.99689,0.02201
random,0.0444,8,0.0,0.99719,0.0
random,0.0444,9,0.0,0.98772,0.0
random,0.0444,10,0.0,0.98721,0.04141
random,0.0444,11,0.01067,1.0,0.0
random,0.0444,12,0.05561,0.93555,0.03344
random,0.0444,13,0.0,1.0,0.0
random,0.0444,14,0.06472,0.94368,0.03521
random,0.0444,15,0.0,0.95776,0.0
random,0.0444,16,0.0,0.99134,0.0619
random,0.0444,17,0.03755,0.9954,0.00018
random,0.0444,18,0.02797,0.96855,0.01424
random,0.0444,19,0.0721,0.93561,0.08249
random,0.0444,20,0.11819,1.0,0.02704
random,0.0444,21,0.0,0.9434,0.0
random,0.0444,22,0.0,1.0,0.00046
random,0.0444,23,0.005,0.98249,0.0
random,0.0444,24,0.11486,0.99212,0.0
random,0.0452,0,0.03866,0.9473,0.05018
random,0.0452,1,0.0,0.91546,0.05968
random,0.0452,2,0.0,0.87845,0.0
random,0.0452,3,0.05493,0.98494,0.0
random,0.0452,4,0.0,1.0,0.07738
random,0.0452,5,0.04568,0.99989,0.01774
random,0.0452,6,0.0,0.99467,0.0
random,0.0452,7,0.10611,0.95241,0.04623
random,0.0452,8,0.11912,1.0,0.04124
random,0.0452,9,0.0,0.92163,0.0
random,0.0452,10,0.0,0.9892,0.0
random,0.0452,11,0.0,0.93186,0.0
random,0.0452,12,0.0,0.93873,0.0
random,0.0452,13,0.0,0.98639,0.00048
random,0.0452,14,0.05629,0.98359,0.06198
random,0.0452,15,0.04613,1.0,0.01692
random,0.0452,16,0.12984,1.0,0.17293
random,0.0452,17,0.0,0.93208,0.00418
random,0.0452,18,0.0,0.96562,0.0
random,0.0452,19,0.03471,0.95621,0.00605
random,0.0452,20,0.01774,0.98076,0.0
random,0.0452,21,0.07671,1.0,0.03326
random,0.0452,22,0.0185,1.0,0.0
random,0.0452,23,0.0,0.98933,0.0
random,0.0452,24,0.0,0.9824,0.0082
random,0.0455,0,0.0,1.0,0.0
random,0.0455,1,0.10144,0.94706,0.02115
random,0.0455,2,0.11002,0.95666,0.03428
random,0.0455,3,0.0,0.922,0.01556
random,0.0455,4,0.07053,0.99772,0.0885
random,0.0455,5,0.0141,1.0,0.03664
random,0.0455,6,0.0,1.0,0.00597
random,0.0455,7,0.04776,0.93539,0.01402
random,0.0455,8,0.03309,0.94082,0.0
random,0.0455,9,0.0,1.0,0.04208
random,0.0455,10,0.0,0.94117,0.01547
random,0.0455,11,0.00151,0.91722,0.00442
random,0.0455,12,0.06542,0.95953,0.06391
random,0.0455,13,0.01932,1.0,0.00058
random,0.0455,14,0.14006,1.0,0.09869
random,0.0455,15,0.05859,1.0,0.04301
random,0.0455,16,0.03804,0.99332,0.02701
random,0.0455,17,0.05095,1.0,0.0
random,0.0455,18,0.07917,1.0,0.0
random,0.0455,19,0.04852,0.92032,0.08584
random,0.0455,20,0.0,0.98509,0.0
random,0.0455,21,0.0,1.0,0.06148
random,0.0455,22,0.11348,0.97017,0.08804
random,0.0455,23,0.03821,0.92239,0.00821
random,0.0455,24,0.0,1.0,0.06392
random,0.0488,0,0.01911,0.9762,0.0
random,0.0488,1,0.0,0.97854,0.006
random,0.0488,2,0.06889,0.95965,0.03878
random,0.0488,3,0.04251,0.95155,0.0
random,0.0488,4,0.07904,1.0,0.05176
random,0.0488,5,0.0,0.94827,0.0
random,0.0488,6,0.04014,0.93162,0.0
random,0.0488,7,0.02679,0.99066,0.04846
random,0.0488,8,0.0,0.99425,0.06796
random,0.0488,9,0.07999,1.0,0.04672
random,0.0488,10,0.0,0.99323,0.0
random,0.0488,11,0.0,0.96745,0.0
random,0.0488,12,0.09544,0.97601,0.06419
random,0.0488,13,0.0,0.98865,0.02982
random,0.0488,14,0.01989,0.97391,0.0
random,0.0488,15,0.0,0.98734,0.0
random,0.0488,16,0.10435,0.94111,0.1634
random,0.0488,17,0.0,0.94472,0.0
random,0.0488,18,0.1527,0.87487,0.14528
random,0.0488,19,0.01728,0.91499,0.0052
random,0.0488,20,0.0,1.0,0.0
random,0.0488,21,0.0,1.0,0.0
random,0.0488,22,0.0,0.96021,0.0
random,0.0488,23,0.04062,0.99888,0.06154
random,0.0488,24,0.05537,0.98884,0.01869
random,0.0492,0,0.0,0.94746,0.0
random,0.0492,1,0.0,0.83443,0.0
random,0.0492,2,0.02765,0.94214,0.06006
random,0.0492,3,0.0075,1.0,0.0
random,0.0492,4,0.0,0.98513,0.0
random,0.0492,5,0.04412,0.91692,0.04161
random,0.0492,6,0.03065,0.96425,0.06764
random,0.0492,7,0.0,1.0,0.0
random,0.0492,8,0.14067,0.9994,0.06941
random,0.0492,9,0.0,0.97728,0.0224
random,0.0492,10,0.04861,0.92226,0.0022
random,0.0492,11,0.04554,0.93548,0.05351
random,0.0492,12,0.0,0.97056,0.0
random,0.0492,13,0.09581,0.91071,0.08803
random,0.0492,14,0.0,1.0,0.05526
random,0.0492,15,0.0,1.0,0.0
random,0.0492,16,0.07423,0.97464,0.03624
random,0.0492,17,0.01497,1.0,0.03074
random,0.0492,18,0.11489,1.0,0.03143
random,0.0492,19,0.00486,0.92761,0.0
random,0.0492,20,0.0,0.95907,0.0
random,0.0492,21,0.07369,0.94369,0.06522
random,0.0492,22,0.0,1.0,0.04457
random,0.0492,23,0.05765,0.98655,0.0
random,0.0492,24,0.0,0.97484,0.0
random,0.0744,0,0.03218,1.0,0.03437
random,0.0744,1,0.0,1.0,0.0
random,0.0744,2,0.02913,0.93017,0.02524
random,0.0744,3,0.06488,0.97962,0.01471
random,0.0744,4,0.05473,0.92814,0.05744
random,0.0744,5,0.09003,0.98268,0.05341
random,0.0744,6,0.03669,0.92302,0.06262
random,0.0744,7,0.08149,0.99087,0.08462
random,0.0744,8,0.06898,0.93446,0.0
random,0.0744,9,0.02827,1.0,0.00977
random,0.0744,10,0.03399,1.0,0.0
random,0.0744,11,0.0,1.0,0.0
random,0.0744,12,0.07792,0.9658,0.13485
random,0.0744,13,0.0,0.99867,0.01903
random,0.0744,14,0.03273,0.94848,0.07214
random,0.0744,15,0.0,1.0,0.0
random,0.0744,16,0.02003,0.9484,0.02975
random,0.0744,17,0.05943,0.99535,0.0
random,0.0744,18,0.0,1.0,0.00582
random,0.0744,19,0.0,0.98163,0.0
random,0.0744,20,0.01299,1.0,0.0
random,0.0744,21,0.0,1.0,0.0
random,0.0744,22,0.0,0.92796,0.0
random,0.0744,23,0.04068,0.90749,0.0471
random,0.0744,24,0.0,0.98796,0.0
random,0.0778,0,0.06463,0.99259,0.0
random,0.0778,1,0.01235,1.0,0.0
random,0.0778,2,0.0,0.95405,0.01403
random,0.0778,3,0.04157,0.9424,0.01369
random,0.0778,4,0.10529,0.90624,0.02174
random,0.0778,5,0.01651,1.0,0.09454
random,0.0778,6,0.02633,1.0,0.04062
random,0.0778,7,0.0,0.90288,0.0
random,0.0778,8,0.03097,1.0,0.03453
random,0.0778,9,0.0,0.95646,0.0
random,0.0778,10,0.0,0.94367,0.05948
random,0.0778,11,0.06534,0.94186,0.01194
random,0.0778,12,0.12331,1.0,0.02068
random,0.0778,13,0.00226,0.93697,0.0
random,0.0778,14,0.0,0.89932,0.0
random,0.0778,15,0.0,1.0,0.04442
random,0.0778,16,0.00575,1.0,0.00842
random,0.0778,17,0.01707,1.0,0.0
random,0.0778,18,0.0,1.0,0.0
random,0.0778,19,0.0,1.0,0.0
random,0.0778,20,0.03023,0.99278,0.042
random,0.0778,21,0.00813,0.98491,0.03351
random,0.0778,22,0.04079,0.89266,0.0903
random,0.0778,23,0.13036,0.92765,0.02391
random,0.0778,24,0.07732,0.9522,0.00645
random,0.0849,0,0.0,0.95791,0.02185
random,0.0849,1,0.17018,0.96089,0.15795
random,0.0849,2,0.0,0.95323,0.0
random,0.0849,3,0.08276,0.9185,0.01918
random,0.0849,4,0.0427,1.0,0.0219
random,0.0849,5,0.0628,0.9526,0.03361
random,0.0849,6,0.0,0.9023,0.06637
random,0.0849,7,0.00521,0.94366,0.03027
random,0.0849,8,0.04266,0.92748,0.05312
random,0.0849,9,0.0,0.95453,0.02225
random,0.0849,10,0.01042,1.0,0.0285
random,0.0849,11,0.01497,0.95203,0.05069
random,0.0849,12,0.07059,0.87379,0.03569
random,0.0849,13,0.0,0.93929,0.00482
random,0.0849,14,0.0,0.9566,0.05708
random,0.0849,15,0.03222,0.94274,0.03128
random,0.0849,16,0.01876,1.0,0.03754
random,0.0849,17,0.06917,0.98415,0.07687
random,0.0849,18,0.00832,0.95912,0.0
random,0.0849,19,0.0,1.0,0.0
random,0.0849,20,0.0,0.9288,0.0
random,0.0849,21,0.07807,0.95868,0.0
random,0.0849,22,0.08979,0.96396,0.01811
random,0.0849,23,0.0,1.0,0.0
random,0.0849,24,0.06553,0.95377,0.01642
random,0.1124,0,0.04019,0.99323,0.05742
random,0.1124,1,0.0,0.92409,0.0
random,0.1124,2,0.13103,0.93947,0.0761
random,0.1124,3,0.02436,0.94936,0.02057
random,0.1124,4,0.00869,0.96047,0.0
random,0.1124,5,0.05934,0.98802,0.0
random,0.1124,6,0.06854,0.97291,0.08938
random,0.1124,7,0.0,0.93558,0.0128
random,0.1124,8,0.00737,0.97238,0.02318
random,0.1124,9,0.05882,1.0,0.0647
random,0.1124,10,0.16277,0.98909,0.04124
random,0.1124,11,0.125,0.97635,0.03018
random,0.1124,12,0.06744,1.0,0.07184
random,0.1124,13,0.06166,0.9954,0.09816
random,0.1124,14,0.0,0.9797,0.0
random,0.1124,15,0.0,1.0,0.05323
random,0.1124,16,0.0,0.90818,0.02769
random,0.1124,17,0.0,0.98743,0.01187
random,0.1124,18,0.00865,0.97319,0.0
random,0.1124,19,0.16871,0.85036,0.0359
random,0.1124,20,0.05796,0.9231,0.01235
random,0.1124,21,0.01455,0.97545,0.00309
random,0.1124,22,0.05819,0.97777,0.02596
random,0.1124,23,0.04876,1.0,0.04416
random,0.1124,24,0.07885,0.89557,0.0
random,0.1158,0,0.03807,1.0,0.03287
random,0.1158,1,0.05542,1.0,0.00228
random,0.1158,2,0.04936,0.98497,0.0399
random,0.1158,3,0.10477,0.96066,0.03405
random,0.1158,4,0.04895,0.96789,0.09864
random,0.1158,5,0.08936,0.97884,0.1075
random,0.1158,6,0.01345,0.93157,0.07203
random,0.1158,7,0.15063,0.98757,0.04858
random,0.1158,8,0.0,0.97838,0.0
random,0.1158,9,0.0,0.886,0.0
random,0.1158,10,0.03634,0.93609,0.0
random,0.1158,11,0.02468,0.95291,0.00815
random,0.1158,12,0.02651,0.99099,0.03539
random,0.1158,13,0.12485,0.89087,0.00067
random,0.1158,14,0.12262,0.99944,0.01176
random,0.1158,15,0.04709,0.91231,0.01089
random,0.1158,16,0.06194,0.99583,0.08485
random,0.1158,17,0.02248,0.99188,0.0
random,0.1158,18,0.04141,0.88422,0.08901
random,0.1158,19,0.05921,0.96414,0.03149
random,0.1158,20,0.04016,1.0,0.0001
random,0.1158,21,0.11014,0.96433,0.10265
random,0.1158,22,0.04713,0.97694,0.0
random,0.1158,23,0.00984,0.98597,0.01232
random,0.1158,24,0.13554,0.94825,0.07988
random,0.1171,0,0.17532,0.88985,0.06157
random,0.1171,1,0.07262,0.99432,0.0
random,0.1171,2,0.0,0.92345,0.0
random,0.1171,3,0.00241,0.8869,0.0
random,0.1171,4,0.0,0.90059,0.00131
random,0.1171,5,0.092,0.93464,0.0
random,0.1171,6,0.05676,0.96624,0.0
random,0.1171,7,0.0946,0.97048,0.0
random,0.1171,8,0.0302,0.94517,0.03149
random,0.1171,9,0.12012,0.97489,0.06192
random,0.1171,10,0.0,1.0,0.0
random,0.1171,11,0.00172,0.93078,0.0
random,0.1171,12,0.06225,0.82676,0.04995
random,0.1171,13,0.03451,1.0,0.0
random,0.1171,14,0.0986,0.93576,0.07762
random,0.1171,15,0.0,0.9844,0.04651
random,0.1171,16,0.03768,0.90323,0.039
random,0.1171,17,0.04977,1.0,0.02947
random,0.1171,18,0.04043,0.83297,0.02583
random,0.1171,19,0.02862,0.92639,0.0
random,0.1171,20,0.0,0.94486,0.02768
random,0.1171,21,0.0,1.0,0.05485
random,0.1171,22,0.07302,0.9863,0.02784
random,0.1171,23,0.0,0.91281,0.0061
random,0.1171,24,0.0,1.0,0.0
random,0.122,0,0.0,1.0,0.0
random,0.122,1,0.00244,0.90333,0.0
random,0.122,2,0.10927,0.95571,0.03343
random,0.122,3,0.009,0.96801,0.0
random,0.122,4,0.01215,0.94544,0.0
random,0.122,5,0.09481,0.83974,0.07017
random,0.122,6,0.0,1.0,0.05953
random,0.122,7,0.0,0.91308,0.0
random,0.122,8,0.0,0.98817,0.0
random,0.122,9,0.03232,0.95561,0.05927
random,0.122,10,0.01132,1.0,0.01671
random,0.122,11,0.0,0.96794,0.03251
random,0.122,12,0.04067,0.96371,0.0405
random,0.122,13,0.01542,1.0,0.0
random,0.122,14,0.1718,0.91424,0.04143
random,0.122,15,0.01288,1.0,0.0
random,0.122,16,0.04002,1.0,0.01196
random,0.122,17,0.0,0.92425,0.01614
random,0.122,18,0.01856,0.9391,0.03803
random,0.122,19,0.07138,0.9007,0.07708
random,0.122,20,0.14044,0.9635,0.05939
random,0.122,21,0.00498,0.87038,0.0
random,0.122,22,0.04537,0.98476,0.01419
random,0.122,23,0.00193,0.97458,0.06473
random,0.122,24,0.11246,0.90318,0.11687
random,0.1253,0,0.0723,0.94943,0.0
random,0.1253,1,0.0,1.0,0.07011
random,0.1253,2,0.02526,0.9558,0.06979
random,0.1253,3,0.03501,0.99401,0.0
random,0.1253,4,0.0,0.97908,0.0
random,0.1253,5,0.0,0.89231,0.03361
random,0.1253,6,0.0,1.0,0.0
random,0.1253,7,0.0,0.95128,0.0
random,0.1253,8,0.03889,0.97731,0.0
random,0.1253,9,0.0,0.94707,0.00126
random,0.1253,10,0.00095,0.97148,0.10715
random,0.1253,11,0.04938,0.98053,0.00021
random,0.1253,12,0.07608,0.90181,0.00258
random,0.1253,13,0.0,1.0,0.05513
random,0.1253,14,0.03057,0.99533,0.03875
random,0.1253,15,0.04455,0.99503,0.0
random,0.1253,16,0.0,0.91674,0.0
random,0.1253,17,0.0,1.0,0.04149
random,0.1253,18,0.15621,0.97063,0.05386
random,0.1253,19,0.0,0.97253,0.00908
random,0.1253,20,0.06302,1.0,0.0657
random,0.1253,21,0.05734,1.0,0.01217
random,0.1253,22,0.0,0.9328,0.01727
random,0.1253,23,0.11913,0.95145,0.04876
random,0.1253,24,0.02863,0.98177,0.00842
random,0.1269,0,0.0285,0.99898,0.00447
random,0.1269,1,0.0,0.9617,0.0
random,0.1269,2,0.02602,0.94556,0.02454
random,0.1269,3,0.1403,1.0,0.02704
random,0.1269,4,0.0,0.92818,0.0
random,0.1269,5,0.0,0.99139,0.02957
random,0.1269,6,0.10302,0.88782,0.04963
random,0.1269,7,0.01429,1.0,0.01762
random,0.1269,8,0.02221,1.0,0.07525
random,0.1269,9,0.09817,0.94665,0.01604
random,0.1269,10,0.06546,0.92154,0.02722
random,0.1269,11,0.1504,0.94401,0.09735
random,0.1269,12,0.04059,0.93853,0.05841
random,0.1269,13,0.03796,0.9724,0.0
random,0.1269,14,0.0,0.89432,0.0
random,0.1269,15,0.0,1.0,0.04631
random,0.1269,16,0.08531,0.94547,0.02551
random,0.1269,17,0.12171,0.92816,0.01752
random,0.1269,18,0.12547,0.92837,0.05921
random,0.1269,19,0.04864,0.96973,0.0
random,0.1269,20,0.01018,0.97387,0.0
random,0.1269,21,0.05562,0.93912,0.09055
random,0.1269,22,0.03597,0.94134,0.01588
random,0.1269,23,0.04759,0.99124,0.10149
random,0.1269,24,0.04445,0.90823,0.0
random,0.1322,0,0.11823,0.95318,0.061
random,0.1322,1,0.03252,0.97226,0.03924
random,0.1322,2,0.02092,0.96798,0.0234
random,0.1322,3,0.13662,0.96074,0.08148
random,0.1322,4,0.04293,0.98065,0.0
random,0.1322,5,0.10336,0.93183,0.04551
random,0.1322,6,0.06218,0.94883,0.07791
random,0.1322,7,0.08697,0.86233,0.0
random,0.1322,8,0.05275,0.98657,0.0
random,0.1322,9,0.0276,1.0,0.0
random,0.1322,10,0.02335,0.9601,0.01758
random,0.1322,11,0.13199,0.99126,0.05079
random,0.1322,12,0.05465,0.93384,0.00122
random,0.1322,13,0.05157,1.0,0.05799
random,0.1322,14,0.05332,1.0,0.01051
random,0.1322,15,0.0,1.0,0.0
random,0.1322,16,0.0,0.96183,0.0
random,0.1322,17,0.0,0.9173,0.0
random,0.1322,18,0.0,1.0,0.0697
random,0.1322,19,0.0,0.9633,0.0
random,0.1322,20,0.0,0.96148,0.0
random,0.1322,21,0.04692,1.0,0.02549
random,0.1322,22,0.13072,0.99317,0.02721
random,0.1322,23,0.04826,0.9422,0.12926
random,0.1322,24,0.00735,1.0,0.0
random,0.1343,0,0.1403,0.86928,0.0812
random,0.1343,1,0.09795,0.99767,0.05787
random,0.1343,2,0.06139,0.95982,0.00295
random,0.1343,3,0.11246,0.8917,0.0
random,0.1343,4,0.06854,0.92475,0.01325
random,0.1343,5,0.07894,0.99557,0.04084
random,0.1343,6,0.01965,0.93904,0.09154
random,0.1343,7,0.0659,0.97512,0.08511
random,0.1343,8,0.12345,0.94031,0.01522
random,0.1343,9,0.06246,0.90544,0.04253
random,0.1343,10,0.05904,0.80059,0.05984
random,0.1343,11,0.0,0.95921,0.01558
random,0.1343,12,0.05225,0.99532,0.02433
random,0.1343,13,0.0,0.95258,0.05535
random,0.1343,14,0.10669,0.95367,0.00078
random,0.1343,15,0.00498,1.0,0.0
random,0.1343,16,0.03009,0.9812,0.06286
random,0.1343,17,0.04091,0.98458,0.11633
random,0.1343,18,0.08568,1.0,0.02529
random,0.1343,19,0.08663,0.8804,0.0
random,0.1343,20,0.0,0.92776,0.0
random,0.1343,21,0.05826,0.97857,0.0
random,0.1343,22,0.12677,0.92587,0.0591
random,0.1343,23,0.05805,0.87168,0.0
random,0.1343,24,0.03585,0.93905,0.0
random,0.1502,0,0.1343,0.91917,0.00981
random,0.1502,1,0.0,0.93099,0.0
random,0.1502,2,0.09712,0.92396,0.05848
random,0.1502,3,0.0,0.97381,0.0496
random,0.1502,4,0.01038,0.90776,0.0
random,0.1502,5,0.17204,0.95375,0.17919
random,0.1502,6,0.01848,1.0,0.02728
random,0.1502,7,0.02787,0.9495,0.00344
random,0.1502,8,0.03426,0.96388,0.03126
random,0.1502,9,0.04523,0.9861,0.05194
random,0.1502,10,0.15168,0.95973,0.13161
random,0.1502,11,0.11223,0.94601,0.09547
random,0.1502,12,0.06034,0.92422,0.09096
random,0.1502,13,0.07051,0.90277,0.0
random,0.1502,14,0.01428,0.91892,0.07086
random,0.1502,15,0.0786,0.902,0.00483
random,0.1502,16,0.12839,0.93221,0.05508
random,0.1502,17,0.05881,1.0,0.0
random,0.1502,18,0.02415,0.86871,0.03086
random,0.1502,19,0.02839,0.97221,0.0
random,0.1502,20,0.09666,0.89438,0.02157
random,0.1502,21,0.03383,0.94228,0.0776
random,0.1502,22,0.11832,0.91799,0.04671
random,0.1502,23,0.04936,0.95858,0.0
random,0.1502,24,0.07417,0.96814,0.06107
random,0.1548,0,0.0,0.97032,0.08161
random,0.1548,1,0.0793,0.95823,0.01679
random,0.1548,2,0.02081,0.9025,0.00332
random,0.1548,3,0.09596,0.9664,0.0591
random,0.1548,4,0.05082,0.92483,0.03502
random,0.1548,5,0.08628,0.91496,0.0
random,0.1548,6,0.08695,0.89631,0.0
random,0.1548,7,0.06173,0.91276,0.04786
random,0.1548,8,0.00557,1.0,0.01017
random,0.1548,9,0.09706,0.87056,0.06014
random,0.1548,10,0.10869,0.99903,0.04317
random,0.1548,11,0.13958,0.86994,0.08266
random,0.1548,12,0.00099,0.99316,0.02936
random,0.1548,13,0.02284,0.96746,0.0
random,0.1548,14,0.0595,0.94801,0.08458
random,0.1548,15,0.05543,0.97851,0.00588
random,0.1548,16,0.0947,0.91091,0.01856
random,0.1548,17,0.13436,0.94809,0.08845
random,0.1548,18,0.10017,0.93814,0.12067
random,0.1548,19,0.17326,0.83275,0.13073
random,0.1548,20,0.09974,0.95163,0.0253
random,0.1548,21,0.10549,0.90323,0.097
random,0.1548,22,0.21857,0.93182,0.17001
random,0.1548,23,0.13714,0.94345,0.07953
random,0.1548,24,0.07447,0.92315,0.05779
random,0.1643,0,0.13696,0.86714,0.0395
random,0.1643,1,0.0,0.89347,0.0
random,0.1643,2,0.06857,0.93136,0.09965
random,0.1643,3,0.00306,0.94611,0.0
random,0.1643,4,0.15234,0.86566,0.04981
random,0.1643,5,0.00788,0.88923,0.06068
random,0.1643,6,0.01339,0.9384,0.01462
random,0.1643,7,0.15957,0.91335,0.0
random,0.1643,8,0.04253,0.94701,0.06448
random,0.1643,9,0.0,0.85146,0.05949
random,0.1643,10,0.15855,0.92489,0.05093
random,0.1643,11,0.0,0.94183,0.02866
random,0.1643,12,0.08487,0.90901,0.0
random,0.1643,13,0.07733,0.95039,0.07249
random,0.1643,14,0.01193,0.95957,0.03195
random,0.1643,15,0.0,0.96053,0.03656
random,0.1643,16,0.13016,1.0,0.03876
random,0.1643,17,0.10262,0.95238,0.0593
random,0.1643,18,0.09586,0.92829,0.07076
random,0.1643,19,0.0343,0.84705,0.0
random,0.1643,20,0.05335,0.95719,0.04843
random,0.1643,21,0.07814,0.89312,0.10778
random,0.1643,22,0.05009,0.92476,0.0
random,0.1643,23,0.16874,0.99197,0.04202
random,0.1643,24,0.1023,0.96886,0.05266
random,0.173,0,0.11446,0.93184,0.11082
random,0.173,1,0.12639,0.89131,0.09119
random,0.173,2,0.07223,0.93295,0.00957
random,0.173,3,0.06109,0.97743,0.03315
random,0.173,4,0.01844,0.89075,0.0
random,0.173,5,0.0,0.96793,0.02026
